Vin,Power supply,,,,,,,,,,,
0.78,,,,,,,,3.362E-07,0.000005022,0.00006494,0.0005836,0.003156
0.79,,,,,,,,0.000000255,0.000003813,0.00005046,0.0004742,0.002695
0.8,,,,,,,,1.939E-07,0.000002893,0.0000391,0.0003836,0.002293
0.81,,,,,,,,,0.000002194,0.00003021,0.0003089,0.001943
0.82,,,,,,,,,0.000001663,0.0000233,0.0002477,0.001639
0.83,,,,,,,,,0.000001261,0.00001792,0.0001978,0.001377
0.84,,,,,,,,,0.000000956,0.00001376,0.0001573,0.001151
0.85,,,,,,,,,7.251E-07,0.00001055,0.0001245,0.0009583
0.86,,,,,,,,,5.504E-07,0.000008075,0.00009824,0.0007941
0.87,,,,,,,,,4.182E-07,0.000006172,0.00007721,0.0006549
0.88,,,,,,,,,3.183E-07,0.000004712,0.00006048,0.0005376
0.89,,,,,,,,,2.428E-07,0.000003594,0.00004722,0.0004392
0.9,,,,,,,,,1.858E-07,0.000002739,0.00003675,0.0003571
0.91,,,,,,,,,,0.000002086,0.00002853,0.000289
0.92,,,,,,,,,,0.000001589,0.00002209,0.0002328
0.93,,,,,,,,,,0.000001209,0.00001706,0.0001867
0.94,,,,,,,,,,9.207E-07,0.00001315,0.0001491
0.95,,,,,,,,,,7.013E-07,0.00001012,0.0001185
0.96,,,,,,,,,,5.347E-07,0.000007772,0.00009384
0.97,,,,,,,,,,4.082E-07,0.000005961,0.00007402
0.98,,,,,,,,,,3.123E-07,0.000004566,0.00005817
0.99,,,,,,,,,,2.396E-07,0.000003493,0.00004556
1,,,,,,,,,,1.846E-07,0.000002671,0.00003558
1.01,,,,,,,,,,,0.00000204,0.0000277
1.02,,,,,,,,,,,0.000001558,0.00002151
1.03,,,,,,,,,,,0.000001189,0.00001666
1.04,,,,,,,,,,,9.081E-07,0.00001287
1.05,,,,,,,,,,,6.936E-07,0.00000993
1.06,,,,,,,,,,,5.302E-07,0.000007646
1.07,,,,,,,,,,,4.058E-07,0.000005878
1.08,,,,,,,,,,,3.112E-07,0.000004513
1.09,,,,,,,,,,,2.393E-07,0.00000346
1.1,,,,,,,,,,,1.847E-07,0.000002651
1.11,,,,,,,,,,,,0.000002029
1.12,,,,,,,,,,,,0.000001553
1.13,,,,,,,,,,,,0.000001187
1.14,,,,,,,,,,,,9.082E-07
1.15,,,,,,,,,,,,6.947E-07
1.16,,,,,,,,,,,,5.317E-07
1.17,,,,,,,,,,,,4.074E-07
1.18,,,,,,,,,,,,3.126E-07
1.19,,,,,,,,,,,,2.404E-07
1.2,,,,,,,,,,,,1.854E-07
